Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
55014-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,16.93599976,25,3700,DET@NO,NO,DET,,,
55014-58134,SF,Justin,Justin Jackson,Jackson,13.08500061,20,3700,SA@OKC,OKC,SA,,,
55014-145304,C,Onyeka,Onyeka Okongwu,Okongwu,9.49090923,11,3700,BOS@ATL,ATL,BOS,,,
55014-18376,SG,Damion,Damion Lee,Lee,14.375,32,3700,GS@IND,GS,IND,,,
55014-48598,SF,Semi,Semi Ojeleye,Ojeleye,11.40999959,30,3700,BOS@ATL,BOS,ATL,,,
55014-9703,PG,George,George Hill,Hill,21.0214277,14,3700,SA@OKC,OKC,SA,O,Thumb,
55014-9739,PF,JaVale,JaVale McGee,McGee,18.73913043,23,3600,HOU@CLE,CLE,HOU,,,
55014-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,9.543859649,57,3600,HOU@CLE,CLE,HOU,O,Abdomen,
55014-17517,SG,Tony,Tony Snell,Snell,8.14999983,18,3600,BOS@ATL,ATL,BOS,,,
55014-23156,PF,Georges,Georges Niang,Niang,9.725806452,31,3600,LAL@UTA,UTA,LAL,,,
55014-23676,PG,Damyean,Damyean Dotson,Dotson,13.78846154,26,3600,HOU@CLE,CLE,HOU,,,
55014-14554,SF,E'Twaun,E'Twaun Moore,Moore,11.8176467,17,3600,CHA@PHO,PHO,CHA,,,
55014-23780,SF,Jake,Jake Layman,Layman,11.58636336,22,3600,MIN@CHI,MIN,CHI,,,
55014-110340,C,Jaxson,Jaxson Hayes,Hayes,10.2826087,23,3600,DET@NO,NO,DET,,,
55014-110351,SG,Cody,Cody Martin,Martin,7.10000017,18,3600,CHA@PHO,CHA,PHO,,,
55014-55055,PG,Dante,Dante Exum,Exum,12.31666692,6,3600,HOU@CLE,HOU,CLE,O,Calf,
55014-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,18.03333367,9,3600,BOS@ATL,ATL,BOS,O,Knee,
55014-23981,PG,Alex,Alex Caruso,Caruso,14.66400024,25,3600,LAL@UTA,LAL,UTA,,,
55014-97263,C,Drew,Drew Eubanks,Eubanks,12.49090854,11,3600,SA@OKC,SA,OKC,,,
55014-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,3.380000051,15,3500,LAL@UTA,LAL,UTA,,,
55014-101387,PG,Gabe,Gabe Vincent,Vincent,9.361905053,21,3500,TOR@MIA,MIA,TOR,GTD,Knee,
55014-101393,SG,Paul,Paul Watson,Watson,3.199999946,14,3500,TOR@MIA,TOR,MIA,,,
55014-117273,SF,Mychal,Mychal Mulder,Mulder,7.2,30,3500,GS@IND,GS,IND,,,
55014-117274,PF,Chris,Chris Silva,Silva,9.099999746,6,3500,TOR@MIA,MIA,TOR,GTD,Hip,
55014-117286,C,Moses,Moses Brown,Brown,8.214285714,7,3500,SA@OKC,OKC,SA,,,
55014-12334,SG,Avery,Avery Bradley,Bradley,14.26000061,10,3500,TOR@MIA,MIA,TOR,O,Calf,
55014-110639,PF,Sekou,Sekou Doumbouya,Doumbouya,8.811110885,27,3500,DET@NO,DET,NO,,,
55014-110638,SG,Deividas,Deividas Sirvydis,Sirvydis,0.375,4,3500,DET@NO,DET,NO,,,
55014-110640,PF,Luka,Luka Samanic,Samanic,1.75,4,3500,SA@OKC,SA,OKC,,,
55014-117808,PF,Marques,Marques Bolden,Bolden,4.03333346,6,3500,HOU@CLE,CLE,HOU,,,
55014-117301,PF,Devontae,Devontae Cacok,Cacok,2.5,2,3500,LAL@UTA,LAL,UTA,,,
55014-15417,SF,Solomon,Solomon Hill,Hill,11.05806412,31,3500,BOS@ATL,ATL,BOS,,,
55014-112709,SG,Javonte,Javonte Green,Green,10.58947352,19,3500,BOS@ATL,BOS,ATL,,,
55014-112708,SF,Max,Max Strus,Strus,9.666666667,18,3500,TOR@MIA,MIA,TOR,,,
55014-112710,C,Tacko,Tacko Fall,Fall,11.19999949,6,3500,BOS@ATL,BOS,ATL,,,
55014-12365,C,Ed,Ed Davis,Davis,12.73157863,19,3500,MIN@CHI,MIN,CHI,,,
55014-23120,SF,T.J.,T.J. Warren,Warren,22.07500076,4,3500,GS@IND,IND,GS,O,Foot,
55014-145491,PF,Nathan,Nathan Knight,Knight,6.366666582,9,3500,BOS@ATL,ATL,BOS,,,
55014-110697,PF,Nicolo,Nicolo Melli,Melli,6.933333333,15,3500,DET@NO,NO,DET,,,
55014-113267,SF,Caleb,Caleb Martin,Martin,13.66521686,23,3500,CHA@PHO,CHA,PHO,O,Covid-19,
55014-116340,SG,Terence,Terence Davis,Davis,11.70769207,26,3500,TOR@MIA,TOR,MIA,,,
55014-41082,C,Damian,Damian Jones,Jones,4.399999891,14,3500,CHA@PHO,PHO,CHA,,,
55014-41083,PF,Luke,Luke Kornet,Kornet,4.571428571,7,3500,MIN@CHI,CHI,MIN,,,
55014-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,12.85294118,17,3500,SA@OKC,OKC,SA,,,
55014-14505,C,Bismack,Bismack Biyombo,Biyombo,17.73214286,28,3500,CHA@PHO,CHA,PHO,,,
55014-14509,SG,Klay,Klay Thompson,Thompson,,,3500,GS@IND,GS,IND,O,Achilles,
55014-14511,PF,Markieff,Markieff Morris,Morris,10.30769231,26,3500,LAL@UTA,LAL,UTA,GTD,Ankle,
55014-49336,SG,DeAndre',DeAndre' Bembry,Bembry,11.46521792,23,3500,TOR@MIA,TOR,MIA,,,
55014-23740,PG,Ryan,Ryan Arcidiacono,Arcidiacono,8.507142748,14,3500,MIN@CHI,CHI,MIN,,,
55014-84689,SF,Josh,Josh Okogie,Okogie,12.40769254,26,3500,MIN@CHI,MIN,CHI,,,
55014-84688,SF,Keita,Keita Bates-Diop,Bates-Diop,1.825000048,8,3500,SA@OKC,SA,OKC,,,
55014-84696,SG,Jevon,Jevon Carter,Carter,8.265384381,26,3500,CHA@PHO,PHO,CHA,,,
55014-145624,SG,Ty-Shon,Ty-Shon Alexander,Alexander,0.900000016,3,3500,CHA@PHO,PHO,CHA,,,
55014-84700,PF,Rodions,Rodions Kurucs,Kurucs,3.573333232,15,3500,HOU@CLE,HOU,CLE,,,
55014-15582,PG,Quinn,Quinn Cook,Cook,3.09375,16,3500,LAL@UTA,LAL,UTA,,,
